Company name, Email, Telephne, website
RAWABIT TRADING EST, alrawabit200@hotmail.com, 0565102224, http://www.alrawabit.com
Qassim Trading Est, afsd2004@hotmail.com, 0506277712, NaN
Sala Saudi Croup  Contrating, wadani1981@gmail.com, 0536685434, http://www.sala.com
Hill Metals Establishment, hussain@hotmail.com, 0503616877, NaN
altajhiz almutakaml, ksbanz2015@gmail.com, 0599134505, NaN
ABDUAZIZ MOHAMED SULIMAN AL-ROBIAN TRD EST, zezo200815@hotmail.com, 0505446124, NaN
Massarat elnahda co, massarat_elnahda@yahoo.com, 0565666601, NaN
ammar abdulaziz ali almehwiti Trading Est, fateel1444@gmail.com, 0566644156, http://www.fateel.sa
Sand Stabilization Factory, faisal@futuretrend.sa, 0555094649, NaN
BINRAFEACO, binrafea@yahoo.com, 0550265543, NaN
Tamaraty corporation , azooz4591@gmail.com, 0502970314, NaN
KNOOZ AL ARDH CHEMICAL FACTORY, admin@knooz-sa.com, 0566378133, http://www.knooz-sa.com
AL-HIJAZ METAL, badr99099@gmail.com, 0555324325, NaN
PLASTIC FACTORY SALEH ALSOHAIM , abusuheem@gmail.com, 0547745551, NaN
FRMS, zfzood@gmail.com, 0505200978, http://www.frms.com.sa
AlSabika Construction, hesham@al-warraq.com, 0505416796, NaN
muasasat tayibat althimar , brraksa@gmail.com, 0541235535, NaN
Premier Paints Company Limited , abdulgadir@premierpaints.com, 0504306516, NaN
Faisal Khaled Al-Angary and Partner trading Co, a.alhussaini@o2proformance.com, 0560555587, NaN
Rawan Foundation, rawan.int@gmail.com, 0534277080, NaN
Al - Rahdan Cleaning Company, a.m.gamaly@alrahden.com.sa, 0500153253, NaN
Al - Kharj Metal Casting Company, aamm330030@gmail.com, 0566330030, NaN
SAMA ALFA TRADING EST, info@alpha-sky.com, 0532108690, NaN
Al Sedr Al Arabi Trading Co. (One Person Company), farhanmg@yahoo.com, 0500188330, NaN
Mohammed Abdullah Ababtain Group For Wholesale & Retail, mohd.ab1413@gmail.com, 0553264744, NaN
Taiba co for gold and jewels, factory@taiba.com, 0544041111, NaN
Al Majdouie Logistics Company Limited, alrashdifa@almajdouie.com, 0565561655, NaN
Gheras Alkhairat Co, turki@mbd.com.sa, 0505217419, NaN
Riyadh Tars Factory For Industry, tarsriyadh@gmail.com, 0531917776, NaN
Sahara Atheer, abuthamer81@gmail.com, 0555477426, http://www.sharaatheer.com
ALFahhadeyh  security system , fahhad.almarzooqi@gmail.com, 0558299995, NaN
DELTA PLASTIC FACTORY, kh4ever2008@gmail.com, 0556734419, http://www.riyadhpaint.ucoz.com
Time Trading Est, cookiestime3030@gmail.com, 0504612130, NaN
Al Ajaina Trading Est, alajenasolo@gmail.com, 0539397760, NaN
Electrical Circuit Breaker Factor , murad.alnajar@alojaimi.com, 0559001038, http://www.alojaimi.com
Waleed Mohammed Salem Al Mutlaq Trading Est, waleed808@hotmail.com, 0530205272, NaN
MUNIF PACKAGING COMPANY, export3@mmppf.com, 0504494413, http://www.munipack.com
Abdul Aziz Al-Hofaity for Melamine Sheets, hofaity88@hotmail.com, 0539040848, NaN
Azer International for Petrolum Products, altharowi@gmail.com, 0504106282, NaN
Enjaz Allttihad For Trading, a-k-shehri@hotmail.com, 0543999641, NaN
Saudi Building System, anasser@saudibuilding.org, 0565758598, http://www.SaudiBuilding.com
Fares Yanbu Trading Est, uniforms@fares-yanbu.com, 0590599316, NaN
Seven Seas Star Trading Services Office, asim@ssst.sa, 0505429974, NaN
palm vally, bandaralradadi@gmail.com, 0569614450, http://www.palmvally.com.sa
Mohammed Al Fawaz Foundation, mohamd231@icloud.com, 0542502154, NaN
Tharathat Al Sharq Trading Est, abumubark@hotmail.com, 0505139537, NaN
DITC, ideachance@yahoo.com, 0598888908, NaN
Mohammed Salem Hajjaj Trading & Import Office, mohdsaal@hotmail.com, 0567450302, NaN
Ahmed Ali Al Jaidi Trading Est, abo.lojeen@gmail.com, 0554445104, NaN
Farm abdel-mohsen , albnaadr@hotmail.com, 0505301020, NaN
Hasan Abdul Aziz Al - Hazza Group for Trading & Marketing, hasan.alhazza@yahoo.com, 0554237777, NaN
Wahah Electric Supply Co of Saudi Arabia Ltd, aalsulaiman@wescosa.com, 0560353123, NaN
Almasirah International, hadeel.alotaibi@gmail.com, 0535039192, http://www.miiic.biz
NAQEL Company, salwa.almadani@naqel.com.sa, 0596000449, NaN
alasail golden company, al_asaiel_golden@hotmail.com, 0552228400, NaN
